Date,Open,High,Low,Close,Adj Close,Volume
9/24/2018,109.489998,111.510002,107.900002,110.959999,110.959999,717700
9/25/2018,111.239998,114,111.220001,113.660004,113.660004,450600
9/26/2018,113.699997,115.75,112.18,114.260002,114.260002,600900
9/27/2018,114.860001,115.449997,113.260002,113.330002,113.330002,559400
9/28/2018,113.139999,114,111.199997,111.739998,111.739998,830700
10/1/2018,112.860001,113.589996,111.050003,111.309998,111.309998,807100
10/2/2018,111.669998,111.669998,106.43,106.989998,106.989998,752200
10/3/2018,107.620003,108.830002,106.459999,107.529999,107.529999,730500
10/4/2018,107.410004,107.5,103.959999,105.940002,105.940002,695200
10/5/2018,105.690002,107.730003,102.739998,105.699997,105.699997,1025500
10/8/2018,104.440002,104.860001,98.480003,100.669998,100.669998,1307800
10/9/2018,100.559998,102.970001,99.239998,101.360001,101.360001,765100
10/10/2018,100.389999,100.93,96.150002,96.389999,96.389999,1606200
10/11/2018,95.580002,98.720001,94.809998,97.150002,97.150002,1545100
10/12/2018,100.260002,102.269997,99.07,100.919998,100.919998,793300
10/15/2018,100.790001,102.769997,98.419998,101.779999,101.779999,1119800
10/16/2018,102.949997,105.629997,102.639999,104.940002,104.940002,675900
10/17/2018,105,105.68,103.230003,104.480003,104.480003,451200
10/18/2018,104.050003,104.980003,100.989998,101.959999,101.959999,541700
10/19/2018,102.639999,103.440002,99.639999,99.639999,99.639999,599600
10/22/2018,100.120003,101.5,98.099998,100.739998,100.739998,955900
10/23/2018,98.529999,101.82,97.669998,101.449997,101.449997,497900
10/24/2018,101.660004,103,96.739998,96.900002,96.900002,685400
10/25/2018,97.160004,100.019997,96.900002,99.690002,99.690002,855000
10/26/2018,96.690002,98.949997,94.839996,96.769997,96.769997,855800
10/29/2018,99.349998,101.43,95.209999,96.559998,96.559998,1357100
10/30/2018,96.059998,101.489998,95.540001,101.360001,101.360001,1125500
10/31/2018,103.379997,107.629997,102.389999,106.68,106.68,904300
11/1/2018,107.32,109.209999,105.080002,108.889999,108.889999,750400
11/2/2018,109.760002,110.489998,106.75,106.830002,106.830002,903700
11/5/2018,107.150002,107.459999,104.220001,106.599998,106.599998,934400
11/6/2018,105.940002,107.720001,102.849998,105.029999,105.029999,1728800
11/7/2018,113.660004,124.860001,112.540001,121.160004,121.160004,3729300
11/8/2018,121.989998,125.5,119.010002,119.660004,119.660004,1899400
11/9/2018,118.080002,118.080002,111.629997,114.110001,114.110001,3137100
11/12/2018,113,113,107.919998,110.900002,110.900002,1810000
11/13/2018,110.709999,114.129997,109.419998,112.529999,112.529999,965400
11/14/2018,114.550003,116.339996,111.760002,112.459999,112.459999,554600
11/15/2018,112.330002,118.419998,112.239998,117.75,117.75,716000
11/16/2018,116.440002,119.57,114.370003,116.040001,116.040001,852200
11/19/2018,114.660004,115.489998,103.150002,104.120003,104.120003,1759500
11/20/2018,100.32,106.949997,99.529999,104.879997,104.879997,1134000
11/21/2018,107.190002,109.489998,106.279999,107.610001,107.610001,804300
11/23/2018,106.139999,109.199997,105.93,108.599998,108.599998,217700
11/26/2018,111.32,113.209999,108.860001,112.529999,112.529999,735000
11/27/2018,111.620003,113.559998,110.650002,112.459999,112.459999,1013300
11/28/2018,115.010002,119.099998,115,118.809998,118.809998,991800
11/29/2018,117.769997,124.279999,117.660004,122.279999,122.279999,1384800
11/30/2018,122.5,125.5,122.279999,124.639999,124.639999,1194700
