DATE,DomesticAutoSales_ThousandsOfUnits,NonResConstructionSpending_Mil,NationalUnemploymentRate
8/1/2016,433.38,66992,5.0
9/1/2016,419.56,67122,4.8
10/1/2016,377.266,64700,4.7
11/1/2016,374.906,62168,4.4
12/1/2016,444.215,57324,4.5
1/1/2017,307.619,50948,5.1
2/1/2017,368.826,51215,4.9
3/1/2017,446.58,55076,4.6
4/1/2017,411.024,56724,4.1
5/1/2017,433.909,62001,4.1
6/1/2017,399.619,64337,4.5
7/1/2017,376.212,64225,4.6
8/1/2017,394.215,65342,4.5
9/1/2017,406.634,64384,4.1
10/1/2017,345.309,63768,3.9
11/1/2017,340.959,60247,3.9
12/1/2017,362.059,56075,3.9
1/1/2018,280.479,51525,4.5
2/1/2018,328.988,52312,4.4
3/1/2018,416.105,55801,4.1
4/1/2018,326.924,59468,3.7
5/1/2018,394.895,64765,3.6
6/1/2018,372.417,67847,4.2
7/1/2018,321.267,68170,4.1
8/1/2018,338.095,70931,3.9
9/1/2018,329.564,68267,3.6
10/1/2018,329.158,68194,3.5
11/1/2018,306.41,62712,3.5
12/1/2018,342.587,57818,3.7
1/1/2019,277.863,54304,4.4
2/1/2019,285.093,55332,4.1
3/1/2019,372.433,58989,3.9
4/1/2019,295.505,63684,3.3
5/1/2019,346.105,67794,3.4
,,,
